,JNJ,PFE,LLY,PRGO,CTLT,VTRS,ALXN,ZTS,ABBV,MRK
2016-04-13,109.87000274658203,30.872865676879883,75.16000366210938,127.79000091552734,29.65999984741211,47.220001220703125,152.8800048828125,47.5,59.060001373291016,55.959999084472656
2016-04-14,109.83999633789062,30.977230072021484,75.62999725341797,128.02999877929688,29.75,47.59000015258789,154.75,47.66999816894531,59.279998779296875,56.45000076293945
2016-04-15,110.18000030517578,30.834915161132812,75.52999877929688,127.98999786376953,30.299999237060547,46.88999938964844,153.08999633789062,48.11000061035156,59.5099983215332,56.13999938964844
2016-04-18,110.93000030517578,30.939279556274414,77.22000122070312,128.94000244140625,29.799999237060547,47.599998474121094,155.7100067138672,48.56999969482422,59.880001068115234,56.5099983215332
2016-04-19,112.68000030517578,31.204933166503906,77.25,130.6199951171875,29.6200008392334,47.77000045776367,155.44000244140625,48.560001373291016,60.16999816894531,56.86000061035156
2016-04-20,113.58000183105469,31.52751350402832,77.08000183105469,128.6199951171875,29.770000457763672,47.93000030517578,157.0399932861328,48.470001220703125,60.47999954223633,56.58000183105469
2016-04-21,113.56999969482422,31.537002563476562,77.37000274658203,128.67999267578125,29.399999618530273,48.79999923706055,161.3800048828125,48.439998626708984,61.369998931884766,56.599998474121094
2016-04-22,113.31999969482422,31.565465927124023,77.83000183105469,121.3499984741211,29.780000686645508,48.290000915527344,159.10000610351562,48.63999938964844,61.41999816894531,56.7400016784668
2016-04-25,113.51000213623047,31.5085391998291,77.94000244140625,99.4000015258789,29.450000762939453,45.02000045776367,158.02000427246094,47.31999969482422,60.970001220703125,56.220001220703125
2016-04-26,112.91000366210938,31.356735229492188,76.2699966430664,99.55000305175781,29.649999618530273,44.9900016784668,154.00999450683594,47.61000061035156,60.93000030517578,56.040000915527344
2016-04-27,112.7699966430664,31.309297561645508,76.51000213623047,97.23999786376953,29.850000381469727,44.47999954223633,150.77999877929688,47.459999084472656,60.70000076293945,56.310001373291016
2016-04-28,112.4800033569336,31.223909378051758,76.45999908447266,96.44999694824219,29.739999771118164,42.599998474121094,142.52999877929688,47.189998626708984,61.20000076293945,55.7400016784668
2016-04-29,112.08000183105469,31.034156799316406,75.52999877929688,96.66999816894531,29.530000686645508,41.709999084472656,139.27999877929688,47.029998779296875,61.0,54.84000015258789
2016-05-02,112.75,31.119544982910156,76.75,96.11000061035156,29.40999984741211,42.709999084472656,140.52999877929688,48.029998779296875,61.439998626708984,55.29999923706055
2016-05-03,112.69000244140625,31.973434448242188,76.25,96.61000061035156,29.350000381469727,43.689998626708984,144.3699951171875,48.150001525878906,61.77000045776367,55.08000183105469
2016-05-04,112.22000122070312,31.688804626464844,74.87000274658203,95.69999694824219,29.239999771118164,41.939998626708984,141.41000366210938,47.04999923706055,61.459999084472656,54.810001373291016
2016-05-05,112.87999725341797,31.850095748901367,75.2699966430664,97.06999969482422,25.440000534057617,41.400001525878906,142.5800018310547,48.2400016784668,62.34000015258789,54.09000015258789
2016-05-06,112.73999786376953,31.859582901000977,74.5999984741211,92.38999938964844,24.469999313354492,39.650001525878906,140.99000549316406,47.34000015258789,62.5099983215332,53.599998474121094
2016-05-09,113.72000122070312,32.08728790283203,75.58999633789062,93.77999877929688,24.440000534057617,40.77000045776367,143.52000427246094,47.5,63.70000076293945,54.099998474121094
2016-05-10,114.66999816894531,32.06830978393555,76.87999725341797,93.06999969482422,24.770000457763672,40.810001373291016,145.47999572753906,46.560001373291016,63.7400016784668,54.68000030517578
2016-05-11,114.37000274658203,31.461101531982422,76.30999755859375,92.75,24.350000381469727,39.63999938964844,138.86000061035156,46.0,62.70000076293945,54.310001373291016
